GEOID,year,species,head_count,mean_density,cell_count
01003,2015,5_Bf_2015_Da,,,0
01069,2015,5_Bf_2015_Da,,,0
01005,2015,5_Bf_2015_Da,,,0
01119,2015,5_Bf_2015_Da,,,0
05091,2015,5_Bf_2015_Da,,,0
05133,2015,5_Bf_2015_Da,,,0
05093,2015,5_Bf_2015_Da,,,0
06037,2015,5_Bf_2015_Da,,,0
06087,2015,5_Bf_2015_Da,,,0
06097,2015,5_Bf_2015_Da,,,0
06013,2015,5_Bf_2015_Da,,,0
06003,2015,5_Bf_2015_Da,,,0
08067,2015,5_Bf_2015_Da,,,0
08113,2015,5_Bf_2015_Da,,,0
10001,2015,5_Bf_2015_Da,,,0
12123,2015,5_Bf_2015_Da,,,0
12017,2015,5_Bf_2015_Da,,,0
12071,2015,5_Bf_2015_Da,,,0
12101,2015,5_Bf_2015_Da,,,0
12033,2015,5_Bf_2015_Da,,,0
12037,2015,5_Bf_2015_Da,,,0
02090,2015,5_Bf_2015_Da,,,0
12065,2015,5_Bf_2015_Da,,,0
13185,2015,5_Bf_2015_Da,,,0
13127,2015,5_Bf_2015_Da,,,0
13051,2015,5_Bf_2015_Da,,,0
13179,2015,5_Bf_2015_Da,,,0
13073,2015,5_Bf_2015_Da,,,0
13137,2015,5_Bf_2015_Da,,,0
16041,2015,5_Bf_2015_Da,,,0
16033,2015,5_Bf_2015_Da,,,0
16079,2015,5_Bf_2015_Da,,,0
17031,2015,5_Bf_2015_Da,,,0
16073,2015,5_Bf_2015_Da,,,0
16035,2015,5_Bf_2015_Da,,,0
18123,2015,5_Bf_2015_Da,,,0
18075,2015,5_Bf_2015_Da,,,0
19045,2015,5_Bf_2015_Da,,,0
04009,2015,5_Bf_2015_Da,,,0
19195,2015,5_Bf_2015_Da,,,0
20199,2015,5_Bf_2015_Da,,,0
01117,2015,5_Bf_2015_Da,,,0
01055,2015,5_Bf_2015_Da,,,0
01051,2015,5_Bf_2015_Da,,,0
01099,2015,5_Bf_2015_Da,,,0
21095,2015,5_Bf_2015_Da,,,0
22075,2015,5_Bf_2015_Da,0.0,0.0,1
22117,2015,5_Bf_2015_Da,,,0
22017,2015,5_Bf_2015_Da,,,0
01035,2015,5_Bf_2015_Da,,,0
01085,2015,5_Bf_2015_Da,,,0
23015,2015,5_Bf_2015_Da,,,0
23017,2015,5_Bf_2015_Da,0.0,0.0,4
24005,2015,5_Bf_2015_Da,,,0
24025,2015,5_Bf_2015_Da,,,0
24041,2015,5_Bf_2015_Da,,,0
24015,2015,5_Bf_2015_Da,,,0
25009,2015,5_Bf_2015_Da,,,0
25005,2015,5_Bf_2015_Da,,,0
25021,2015,5_Bf_2015_Da,,,0
26041,2015,5_Bf_2015_Da,,,0
26055,2015,5_Bf_2015_Da,,,0
26007,2015,5_Bf_2015_Da,,,0
26103,2015,5_Bf_2015_Da,,,0
26147,2015,5_Bf_2015_Da,0.0,0.0,4
26071,2015,5_Bf_2015_Da,,,0
27027,2015,5_Bf_2015_Da,,,0
27091,2015,5_Bf_2015_Da,,,0
28033,2015,5_Bf_2015_Da,,,0
28157,2015,5_Bf_2015_Da,,,0
29113,2015,5_Bf_2015_Da,,,0
30001,2015,5_Bf_2015_Da,,,0
30105,2015,5_Bf_2015_Da,,,0
31033,2015,5_Bf_2015_Da,,,0
31049,2015,5_Bf_2015_Da,,,0
34015,2015,5_Bf_2015_Da,,,0
36013,2015,5_Bf_2015_Da,,,0
36045,2015,5_Bf_2015_Da,0.0,0.0,1
36059,2015,5_Bf_2015_Da,,,0
37133,2015,5_Bf_2015_Da,,,0
37009,2015,5_Bf_2015_Da,,,0
37169,2015,5_Bf_2015_Da,,,0
37053,2015,5_Bf_2015_Da,,,0
37173,2015,5_Bf_2015_Da,,,0
37131,2015,5_Bf_2015_Da,,,0
38035,2015,5_Bf_2015_Da,,,0
38067,2015,5_Bf_2015_Da,9733.518538802819,3.359869384765625,10
39123,2015,5_Bf_2015_Da,,,0
45051,2015,5_Bf_2015_Da,,,0
02240,2015,5_Bf_2015_Da,,,0
40079,2015,5_Bf_2015_Da,,,0
40023,2015,5_Bf_2015_Da,,,0
40113,2015,5_Bf_2015_Da,,,0
41015,2015,5_Bf_2015_Da,,,0
41045,2015,5_Bf_2015_Da,,,0
41001,2015,5_Bf_2015_Da,,,0
42111,2015,5_Bf_2015_Da,,,0
42133,2015,5_Bf_2015_Da,,,0
45003,2015,5_Bf_2015_Da,,,0
45091,2015,5_Bf_2015_Da,,,0
46127,2015,5_Bf_2015_Da,,,0
46009,2015,5_Bf_2015_Da,,,0
46089,2015,5_Bf_2015_Da,,,0
47065,2015,5_Bf_2015_Da,,,0
47059,2015,5_Bf_2015_Da,,,0
47091,2015,5_Bf_2015_Da,,,0
48355,2015,5_Bf_2015_Da,,,0
48215,2015,5_Bf_2015_Da,,,0
48061,2015,5_Bf_2015_Da,,,0
48479,2015,5_Bf_2015_Da,,,0
48057,2015,5_Bf_2015_Da,,,0
48323,2015,5_Bf_2015_Da,,,0
48465,2015,5_Bf_2015_Da,,,0
48039,2015,5_Bf_2015_Da,,,0
48229,2015,5_Bf_2015_Da,,,0
48203,2015,5_Bf_2015_Da,,,0
48387,2015,5_Bf_2015_Da,,,0
48315,2015,5_Bf_2015_Da,,,0
49045,2015,5_Bf_2015_Da,,,0
49023,2015,5_Bf_2015_Da,,,0
51001,2015,5_Bf_2015_Da,,,0
51095,2015,5_Bf_2015_Da,,,0
51131,2015,5_Bf_2015_Da,,,0
51057,2015,5_Bf_2015_Da,,,0
51107,2015,5_Bf_2015_Da,,,0
51083,2015,5_Bf_2015_Da,,,0
53067,2015,5_Bf_2015_Da,,,0
53029,2015,5_Bf_2015_Da,,,0
54047,2015,5_Bf_2015_Da,,,0
54011,2015,5_Bf_2015_Da,,,0
54073,2015,5_Bf_2015_Da,,,0
54037,2015,5_Bf_2015_Da,,,0
54065,2015,5_Bf_2015_Da,,,0
17125,2015,5_Bf_2015_Da,,,0
54003,2015,5_Bf_2015_Da,,,0
17007,2015,5_Bf_2015_Da,,,0
55011,2015,5_Bf_2015_Da,,,0
55121,2015,5_Bf_2015_Da,,,0
55075,2015,5_Bf_2015_Da,,,0
56029,2015,5_Bf_2015_Da,,,0
56039,2015,5_Bf_2015_Da,,,0
06057,2015,5_Bf_2015_Da,,,0
05085,2015,5_Bf_2015_Da,,,0
05099,2015,5_Bf_2015_Da,,,0
05013,2015,5_Bf_2015_Da,,,0
06007,2015,5_Bf_2015_Da,,,0
06089,2015,5_Bf_2015_Da,,,0
06047,2015,5_Bf_2015_Da,,,0
06009,2015,5_Bf_2015_Da,,,0
06033,2015,5_Bf_2015_Da,,,0
06115,2015,5_Bf_2015_Da,,,0
08035,2015,5_Bf_2015_Da,,,0
08019,2015,5_Bf_2015_Da,,,0
08049,2015,5_Bf_2015_Da,,,0
08029,2015,5_Bf_2015_Da,,,0
08091,2015,5_Bf_2015_Da,,,0
08055,2015,5_Bf_2015_Da,,,0
08111,2015,5_Bf_2015_Da,,,0
09140,2015,5_Bf_2015_Da,,,0
12107,2015,5_Bf_2015_Da,,,0
12001,2015,5_Bf_2015_Da,,,0
12129,2015,5_Bf_2015_Da,,,0
12041,2015,5_Bf_2015_Da,,,0
13089,2015,5_Bf_2015_Da,,,0
13157,2015,5_Bf_2015_Da,,,0
13267,2015,5_Bf_2015_Da,,,0
13031,2015,5_Bf_2015_Da,,,0
13075,2015,5_Bf_2015_Da,,,0
13289,2015,5_Bf_2015_Da,,,0
13303,2015,5_Bf_2015_Da,,,0
13301,2015,5_Bf_2015_Da,,,0
15003,2015,5_Bf_2015_Da,,,0
15007,2015,5_Bf_2015_Da,,,0
16085,2015,5_Bf_2015_Da,,,0
16023,2015,5_Bf_2015_Da,,,0
16077,2015,5_Bf_2015_Da,,,0
17017,2015,5_Bf_2015_Da,,,0
18035,2015,5_Bf_2015_Da,,,0
18013,2015,5_Bf_2015_Da,,,0
18027,2015,5_Bf_2015_Da,,,0
19041,2015,5_Bf_2015_Da,,,0
20139,2015,5_Bf_2015_Da,,,0
20097,2015,5_Bf_2015_Da,,,0
20069,2015,5_Bf_2015_Da,,,0
20067,2015,5_Bf_2015_Da,,,0
21183,2015,5_Bf_2015_Da,,,0
21193,2015,5_Bf_2015_Da,,,0
21115,2015,5_Bf_2015_Da,,,0
21061,2015,5_Bf_2015_Da,,,0
21167,2015,5_Bf_2015_Da,,,0
21237,2015,5_Bf_2015_Da,,,0
22033,2015,5_Bf_2015_Da,,,0
22099,2015,5_Bf_2015_Da,,,0
22025,2015,5_Bf_2015_Da,,,0
22069,2015,5_Bf_2015_Da,,,0
23023,2015,5_Bf_2015_Da,,,0
26135,2015,5_Bf_2015_Da,,,0
27097,2015,5_Bf_2015_Da,,,0
27013,2015,5_Bf_2015_Da,,,0
27147,2015,5_Bf_2015_Da,,,0
27065,2015,5_Bf_2015_Da,,,0
27015,2015,5_Bf_2015_Da,,,0
28145,2015,5_Bf_2015_Da,,,0
28053,2015,5_Bf_2015_Da,,,0
